show_id,type,title,cast,release_year,duration,listed_in,platform
a1,movie,the grand seduction,"brendan gleeson, taylor kitsch, gordon pinsent",2014,113,"comedy, drama",amazon
a2,movie,take care good night,"mahesh manjrekar, abhay mahajan, sachin khedekar",2018,110,"drama, international",amazon
a3,movie,secrets of deception,"tom sizemore, lorenzo lamas, robert lasardo, richard jones, yancey arias, noel gugliemi",2017,74,"action, drama, suspense",amazon
a4,movie,pink: staying true,"interviews with: pink, adele, beyoncé, britney spears, christina aguilera, more!",2014,69,documentary,amazon
a5,movie,monster maker,"harry dean stanton, kieran o'brien, george costigan, amanda dickinson, alison steadman, grant bardsley, bill moody, matthew scurfield",1989,45,"drama, fantasy",amazon
a6,movie,living with dinosaurs,"gregory chisholm, juliet stevenson, brian henson, michael maloney",1989,52,"fantasy, kids",amazon
a7,movie,hired gun,"alice cooper, liberty devitto, ray parker jr., david foster, jason hook, steve vai, phil x, rudy sarzo, jay graydon, rob zombie, kenny aronoff, steve lukather, justin derrico, eva gardner, john 5, eric singer, derek st. holmes, paul bushnell, jason newsted, glen sobel, nita strauss, chris johnson",2017,98,"documentary, special interest",amazon
a8,movie,grease live!,"julianne hough, aaron tveit, vanessa hudgens, keke palmer, carly rae jepson, mario lopez, carlos penavega, kether donohue, jordan fisher, david del rio, andrew call, wendell pierce, boyz ii men, jessie j, ana gasteyer, didi conn",2016,131,comedy,amazon
a9,movie,global meltdown,"michael paré, leanne khol young, patrick j. maceachern",2017,87,"action, science fiction, suspense",amazon
a10,movie,david's mother,"kirstie alley, sam waterston, stockard channing",1994,92,drama,amazon
a11,movie,forest fairies,"emily wilder, adrian cowan, gary mckenzie, jeremy ninaber, brenda somers, brian carleton, lora burke, winny clarke, mercedes morris, rebecca perry, emily agard, graham gauthier",2016,88,"adventure, kids",amazon
a12,movie,take care,"leslie bibb, kevin curtis, nadia dajani",2014,93,comedy,amazon
a13,movie,the night eats the world,"anders danielsen lie, golshifteh farahani, denis lavant, sigrid bouaziz, david kammenos",2018,94,"horror, suspense",amazon
a14,movie,resilencia,"rafinha alcantara, marc-andré ter stegen, sergi roberto, dr. ramón cugat, mazinho, xavi arruebo, celia ferreira da silva, ángel lapuebla, javier enríquez, thiago alcantara, valeria alcantara",2020,46,"documentary, sports",amazon
a15,movie,elon musk: the real life iron man,"elon musk, per wimmer, julie anderson-ankenbrandt, cary cooper",2018,74,documentary,amazon
a16,movie,summer '03,"joey king, jack kilmer, andrea savage, paul scheer, june squibb, erin darke, stephen ruffin, kelly lamor wilson, logan medina, travis james, bill eudaly, elise duquette",2019,96,"comedy, drama",amazon
a17,movie,zoombies,"marcus anderson, kaiwi lyman, andrew asper",2016,87,"horror, science fiction",amazon
a18,tv show,zoo babies,narrator - gillian barlett,2008,1,"kids, special interest",amazon
a19,tv show,zoë coombs marr: bossy bottom,zoë coombs marr,2020,1,"comedy, talk show and variety",amazon
